,Question_no,signal1,bag1,bag1_ado_id,bag1_start_absolute,bag1_end_absolute,signal2,bag2,bag2_ado_id,bag2_start_absolute,bag2_end_absolute
66,66,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
67,67,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
68,68,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287215.0345562
69,69,4,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289046.207837,1689289056.3159006,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287272.2912226
70,70,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188
71,71,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851
72,72,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
73,73,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
74,74,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
75,75,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
76,76,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
77,77,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
78,78,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,5,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287102.6804593,1689287110.5786395
79,79,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,6,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287200.9760044,1689287215.0345562
80,80,5,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289140.8046937,1689289150.1551442,7,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287256.77433,1689287272.2912226
81,81,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,7,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289193.8529038,1689289204.835851
82,82,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,8,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289219.5188522,1689289229.145054
83,83,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,0,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286935.2939074,1689286946.0763702
84,84,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,1,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286964.6851041,1689286977.0421317
85,85,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,2,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689286990.232889,1689287003.790539
86,86,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,3,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287021.682046,1689287030.6745536
87,87,6,/home/ws/data/20230713T155308_expert_data_1/sim_bag_2023_07_13-15_53_08,1000124.0,1689289167.603776,1689289175.745188,4,/home/ws/data/20230713T151042_expert_data_2/sim_bag_2023_07_13-15_10_43,1000125.0,1689287043.7322123,1689287057.17373
